lambda	n	k
1.9370 20.438 27.573
1.6100 15.302 22.607
1.3930 11.753 18.896
1.2160 9.161 16.063
1.0880 7.238 13.866
0.9840 5.747 12.078
0.8920 4.600 10.625
0.8211 3.736 9.463
0.7560 3.070 8.490
0.7045 2.553 7.663
0.6595 2.145 6.924
0.6168 1.822 6.247
0.5821 1.571 5.676
0.5486 1.369 5.154
0.5209 1.212 4.711
0.4959 1.086 4.324
0.4714 0.982 3.974
0.4509 0.898 3.676
0.4305 0.826 3.401
0.4133 0.765 3.164
0.3974 0.713 2.951
0.3815 0.664 2.745
0.3679 0.623 2.572
0.3542 0.585 2.407
0.3425 0.553 2.270
0.3315 0.524 2.144
0.3204 0.495 2.022
0.3107 0.471 1.922
0.3009 0.447 1.824
0.2924 0.428 1.740
0.2844 0.409 1.663
0.2761 0.391 1.587
0.2689 0.375 1.521
0.2616 0.359 1.457
0.2551 0.345 1.400
0.2490 0.331 1.348
0.2426 0.318 1.297
0.2371 0.307 1.254
0.2313 0.295 1.211
0.2262 0.285 1.173
0.2214 0.276 1.138
0.2164 0.266 1.103
0.2119 0.258 1.071
0.2073 0.249 1.040
0.2033 0.242 1.013
0.1993 0.234 0.987
0.1953 0.227 0.963
0.1916 0.220 0.940
0.1879 0.213 0.918
