lambda	n	k
2.0000 1.5823 0.0
1.9000 1.5879 0.0
1.8000 1.5937 0.0
1.7000 1.5998 0.0
1.6000 1.6061 0.0
1.5000 1.6128 0.0
1.4000 1.6198 0.0
1.3000 1.6274 0.0
1.2000 1.6355 0.0
1.1000 1.6444 0.0
1.0000 1.6541 0.0
0.9500 1.6594 0.0
0.9000 1.6649 0.0
0.8500 1.6708 0.0
0.8000 1.6771 0.0
0.7500 1.6838 0.0
0.7000 1.6910 0.0
0.6500 1.6989 0.0
0.6000 1.7076 0.0
0.5500 1.7174 0.0
0.5000 1.7285 0.0
0.4900 1.7315 0.0
0.4800 1.7345 0.0
0.4700 1.7377 0.0
0.4600 1.7409 0.0
0.4500 1.7443 0.0
0.4400 1.7478 0.0
0.4300 1.7514 0.0
0.4200 1.7552 0.0
0.4100 1.7591 0.0
0.4000 1.7631 0.0
0.3900 1.7674 0.0
0.3800 1.7718 0.0
0.3700 1.7764 0.0
0.3600 1.7812 0.0
0.3500 1.7862 0.0
0.3400 1.7915 0.0
0.3300 1.7970 0.0
0.3200 1.8028 0.0
0.3100 1.8089 0.0
0.3000 1.8154 0.0
0.2900 1.8222 0.0
0.2800 1.8295 0.0
0.2700 1.8372 0.0
0.2600 1.8455 0.0
0.2500 1.8545 0.0
0.2400 1.8642 0.0
0.2300 1.8747 0.0
0.2200 1.8862 0.0
0.2100 1.8988 0.0
0.2000 1.9127 0.0
