# x_nm	y_nm	p
# Raw mesh domain: 184.29 x 164.18 nm
# Grid: 200 x 200
-92.1438	-72.036	0.0
-91.2177	-72.036	0.0
-90.2917	-72.036	0.0
-89.3656	-72.036	0.0
-88.4395	-72.036	0.0
-87.5134	-72.036	0.0
-86.5874	-72.036	0.0
-85.6613	-72.036	0.0
-84.7352	-72.036	0.0
-83.8092	-72.036	0.0
-82.8831	-72.036	0.0
-81.957	-72.036	0.0
-81.031	-72.036	0.0
-80.1049	-72.036	0.0
-79.1788	-72.036	0.0
-78.2528	-72.036	0.0
-77.3267	-72.036	0.0
-76.4006	-72.036	0.0
-75.4746	-72.036	0.0
-74.5485	-72.036	0.0
-73.6224	-72.036	0.0
-72.6964	-72.036	0.0
-71.7703	-72.036	0.0
-70.8442	-72.036	0.0
-69.9182	-72.036	0.0
-68.9921	-72.036	0.0
-68.066	-72.036	0.0
-67.1399	-72.036	0.0
-66.2139	-72.036	0.0
-65.2878	-72.036	0.0
-64.3617	-72.036	0.0
-63.4357	-72.036	0.0
-62.5096	-72.036	0.0
-61.5835	-72.036	0.0
-60.6575	-72.036	0.0
-59.7314	-72.036	0.0
-58.8053	-72.036	0.0
-57.8793	-72.036	0.0
-56.9532	-72.036	0.0
-56.0271	-72.036	0.0
-55.1011	-72.036	0.0
-54.175	-72.036	0.0
-53.2489	-72.036	0.0
-52.3229	-72.036	0.0
-51.3968	-72.036	0.0
-50.4707	-72.036	0.0
-49.5446	-72.036	0.0
-48.6186	-72.036	0.0
-47.6925	-72.036	0.0
-46.7664	-72.036	0.0
-45.8404	-72.036	0.0
-44.9143	-72.036	0.0
-43.9882	-72.036	0.0
-43.0622	-72.036	0.0
-42.1361	-72.036	0.0
-41.21	-72.036	0.0
-40.284	-72.036	0.0
-39.3579	-72.036	0.0
-38.4318	-72.036	0.0
-37.5058	-72.036	0.0
-36.5797	-72.036	0.0
-35.6536	-72.036	0.0
-34.7276	-72.036	0.0
-33.8015	-72.036	0.0
-32.8754	-72.036	0.0
-31.9494	-72.036	0.0
-31.0233	-72.036	0.0
-30.0972	-72.036	0.0
-29.1711	-72.036	0.0
-28.2451	-72.036	0.0
-27.319	-72.036	0.0
-26.3929	-72.036	0.0
-25.4669	-72.036	0.0
-24.5408	-72.036	0.0
-23.6147	-72.036	0.0
-22.6887	-72.036	0.0
-21.7626	-72.036	0.0
-20.8365	-72.036	0.0
-19.9105	-72.036	0.0
-18.9844	-72.036	0.0
-18.0583	-72.036	0.0
-17.1323	-72.036	0.0
-16.2062	-72.036	0.0
-15.2801	-72.036	0.0
-14.3541	-72.036	0.0
-13.428	-72.036	0.0
-12.5019	-72.036	0.0
-11.5759	-72.036	0.0
-10.6498	-72.036	0.0
-9.7237	-72.036	0.0
-8.7976	-72.036	0.0
-7.8716	-72.036	0.0
-6.9455	-72.036	0.0
-6.0194	-72.036	0.0
-5.0934	-72.036	0.0
-4.1673	-72.036	0.0
-3.2412	-72.036	0.0
-2.3152	-72.036	0.0
-1.3891	-72.036	0.0
-0.463	-72.036	0.0
0.463	-72.036	0.0
1.3891	-72.036	0.0
2.3152	-72.036	0.0
3.2412	-72.036	0.0
4.1673	-72.036	0.0
5.0934	-72.036	0.0
6.0194	-72.036	0.0
6.9455	-72.036	0.0
7.8716	-72.036	0.0
8.7976	-72.036	0.0
9.7237	-72.036	0.0
10.6498	-72.036	0.0
11.5759	-72.036	0.0
12.5019	-72.036	0.0
13.428	-72.036	0.0
14.3541	-72.036	0.0
15.2801	-72.036	0.0
16.2062	-72.036	0.0
17.1323	-72.036	0.0
18.0583	-72.036	0.0
18.9844	-72.036	0.0
19.9105	-72.036	0.0
20.8365	-72.036	0.0
21.7626	-72.036	0.0
22.6887	-72.036	0.0
23.6147	-72.036	0.0
24.5408	-72.036	0.0
25.4669	-72.036	0.0
26.3929	-72.036	0.0
27.319	-72.036	0.0
28.2451	-72.036	0.0
29.1711	-72.036	0.0
30.0972	-72.036	0.0
31.0233	-72.036	0.0
