# x_nm	y_nm	p
# Raw mesh domain: 175.84 x 176.19 nm
# Grid: 200 x 200
-92.1438	-92.1438	0.0
-91.2602	-92.1438	0.0
-90.3765	-92.1438	0.0
-89.4929	-92.1438	0.0
-88.6093	-92.1438	0.0
-87.7257	-92.1438	0.0
-86.842	-92.1438	0.0
-85.9584	-92.1438	0.0
-85.0748	-92.1438	0.0
-84.1912	-92.1438	0.0
-83.3076	-92.1438	0.0
-82.4239	-92.1438	0.0
-81.5403	-92.1438	0.0
-80.6567	-92.1438	0.0
-79.7731	-92.1438	0.0
-78.8894	-92.1438	0.0
-78.0058	-92.1438	0.0
-77.1222	-92.1438	0.0
-76.2386	-92.1438	0.0
-75.3549	-92.1438	0.0
-74.4713	-92.1438	0.0
-73.5877	-92.1438	0.0
-72.7041	-92.1438	0.0
-71.8205	-92.1438	0.0
-70.9368	-92.1438	0.0
-70.0532	-92.1438	0.0
-69.1696	-92.1438	0.0
-68.286	-92.1438	0.0
-67.4023	-92.1438	0.0
-66.5187	-92.1438	0.0
-65.6351	-92.1438	0.0
-64.7515	-92.1438	0.0
-63.8678	-92.1438	0.0
-62.9842	-92.1438	0.0
-62.1006	-92.1438	0.0
-61.217	-92.1438	0.0
-60.3334	-92.1438	0.0
-59.4497	-92.1438	0.0
-58.5661	-92.1438	0.0
-57.6825	-92.1438	0.0
-56.7989	-92.1438	0.0
-55.9152	-92.1438	0.0
-55.0316	-92.1438	0.0
-54.148	-92.1438	0.0
-53.2644	-92.1438	0.0
-52.3807	-92.1438	0.0
-51.4971	-92.1438	0.0
-50.6135	-92.1438	0.0
-49.7299	-92.1438	0.0
-48.8463	-92.1438	0.0
-47.9626	-92.1438	0.0
-47.079	-92.1438	0.0
-46.1954	-92.1438	0.0
-45.3118	-92.1438	0.0
-44.4281	-92.1438	0.0
-43.5445	-92.1438	0.0
-42.6609	-92.1438	0.0
-41.7773	-92.1438	0.0
-40.8936	-92.1438	0.0
-40.01	-92.1438	0.0
-39.1264	-92.1438	0.0
-38.2428	-92.1438	0.0
-37.3591	-92.1438	0.0
-36.4755	-92.1438	0.0
-35.5919	-92.1438	0.0
-34.7083	-92.1438	0.0
-33.8247	-92.1438	0.0
-32.941	-92.1438	0.0
-32.0574	-92.1438	0.0
-31.1738	-92.1438	0.0
-30.2902	-92.1438	0.0
-29.4065	-92.1438	0.0
-28.5229	-92.1438	0.0
-27.6393	-92.1438	0.0
-26.7557	-92.1438	0.0
-25.872	-92.1438	0.0
-24.9884	-92.1438	0.0
-24.1048	-92.1438	0.0
-23.2212	-92.1438	0.0
-22.3376	-92.1438	0.0
-21.4539	-92.1438	0.0
-20.5703	-92.1438	0.0
-19.6867	-92.1438	0.0
-18.8031	-92.1438	0.0
-17.9194	-92.1438	0.0
-17.0358	-92.1438	0.0
-16.1522	-92.1438	0.0
-15.2686	-92.1438	0.0
-14.3849	-92.1438	0.0
-13.5013	-92.1438	0.0
-12.6177	-92.1438	0.0
-11.7341	-92.1438	0.0
-10.8505	-92.1438	0.0
-9.9668	-92.1438	0.0
-9.0832	-92.1438	0.0
-8.1996	-92.1438	0.0
-7.316	-92.1438	0.0
-6.4323	-92.1438	0.0
-5.5487	-92.1438	0.0
-4.6651	-92.1438	0.0
-3.7815	-92.1438	0.0
-2.8978	-92.1438	0.0
-2.0142	-92.1438	0.0
-1.1306	-92.1438	0.0
-0.247	-92.1438	0.0
0.6366	-92.1438	0.0
1.5203	-92.1438	0.0
2.4039	-92.1438	0.0
3.2875	-92.1438	0.0
4.1711	-92.1438	0.0
5.0548	-92.1438	0.0
5.9384	-92.1438	0.0
6.822	-92.1438	0.0
7.7056	-92.1438	0.0
8.5893	-92.1438	0.0
9.4729	-92.1438	0.0
10.3565	-92.1438	0.0
11.2401	-92.1438	0.0
12.1238	-92.1438	0.0
13.0074	-92.1438	0.0
13.891	-92.1438	0.0
14.7746	-92.1438	0.0
15.6582	-92.1438	0.0
16.5419	-92.1438	0.0
