# x_nm	y_nm	p
# Raw mesh domain: 238.14 x 238.14 nm
# Grid: 200 x 200
-119.0693	-119.0693	0.0
-117.8726	-119.0693	0.0
-116.6759	-119.0693	0.0
-115.4793	-119.0693	0.0
-114.2826	-119.0693	0.0
-113.0859	-119.0693	0.0
-111.8892	-119.0693	0.0
-110.6926	-119.0693	0.0
-109.4959	-119.0693	0.0
-108.2992	-119.0693	0.0
-107.1025	-119.0693	0.0
-105.9059	-119.0693	0.0
-104.7092	-119.0693	0.0
-103.5125	-119.0693	0.0
-102.3158	-119.0693	0.0
-101.1191	-119.0693	0.0
-99.9225	-119.0693	0.0
-98.7258	-119.0693	0.0
-97.5291	-119.0693	0.0
-96.3324	-119.0693	0.0
-95.1358	-119.0693	0.0
-93.9391	-119.0693	0.0
-92.7424	-119.0693	0.0
-91.5457	-119.0693	0.0
-90.3491	-119.0693	0.0
-89.1524	-119.0693	0.0
-87.9557	-119.0693	0.0
-86.759	-119.0693	0.0
-85.5624	-119.0693	0.0
-84.3657	-119.0693	0.0
-83.169	-119.0693	0.0
-81.9723	-119.0693	0.0
-80.7757	-119.0693	0.0
-79.579	-119.0693	0.0
-78.3823	-119.0693	0.0
-77.1856	-119.0693	0.0
-75.9889	-119.0693	0.0
-74.7923	-119.0693	0.0
-73.5956	-119.0693	0.0
-72.3989	-119.0693	0.0
-71.2022	-119.0693	0.0
-70.0056	-119.0693	0.0
-68.8089	-119.0693	0.0
-67.6122	-119.0693	0.0
-66.4155	-119.0693	0.0
-65.2189	-119.0693	0.0
-64.0222	-119.0693	0.0
-62.8255	-119.0693	0.0
-61.6288	-119.0693	0.0
-60.4322	-119.0693	0.0
-59.2355	-119.0693	0.0
-58.0388	-119.0693	0.0
-56.8421	-119.0693	0.0
-55.6454	-119.0693	0.0
-54.4488	-119.0693	0.0
-53.2521	-119.0693	0.0
-52.0554	-119.0693	0.0
-50.8587	-119.0693	0.0
-49.6621	-119.0693	0.0
-48.4654	-119.0693	0.0
-47.2687	-119.0693	0.0
-46.072	-119.0693	0.0
-44.8754	-119.0693	0.0
-43.6787	-119.0693	0.0
-42.482	-119.0693	0.0
-41.2853	-119.0693	0.0
-40.0887	-119.0693	0.0
-38.892	-119.0693	0.0
-37.6953	-119.0693	0.0
-36.4986	-119.0693	0.0
-35.302	-119.0693	0.0
-34.1053	-119.0693	0.0
-32.9086	-119.0693	0.0
-31.7119	-119.0693	0.0
-30.5152	-119.0693	0.0
-29.3186	-119.0693	0.0
-28.1219	-119.0693	0.0
-26.9252	-119.0693	0.0
